Thread Count,"Shared Conn, RW, filled table, shared cache: no, WAL: no","Shared Conn, RW, filled table, shared cache: yes, WAL: no","Shared Conn, RW, filled table, shared cache: no, WAL: yes","Shared Conn, RW, filled table, shared cache: yes, WAL: yes","Shared Conn, RO, filled table, shared cache: no, WAL: no","Shared Conn, RO, filled table, shared cache: yes, WAL: no","Shared Conn, RO, filled table, shared cache: no, WAL: yes","Shared Conn, RO, filled table, shared cache: yes, WAL: yes","Multi Conn, RW, filled table, shared cache: no, WAL: no","Multi Conn, RW, filled table, shared cache: yes, WAL: no","Multi Conn, RW, filled table, shared cache: no, WAL: yes","Multi Conn, RW, filled table, shared cache: yes, WAL: yes","Multi Conn, RO, filled table, shared cache: no, WAL: no","Multi Conn, RO, filled table, shared cache: yes, WAL: no","Multi Conn, RO, filled table, shared cache: no, WAL: yes","Multi Conn, RO, filled table, shared cache: yes, WAL: yes","Shared Conn, RW, empty table, shared cache: no, WAL: no","Shared Conn, RW, empty table, shared cache: yes, WAL: yes","Shared Conn, RO, empty table, shared cache: no, WAL: no","Shared Conn, RO, empty table, shared cache: yes, WAL: yes","Multi Conn, RW, empty table, shared cache: no, WAL: no","Multi Conn, RW, empty table, shared cache: yes, WAL: yes","Multi Conn, RO, empty table, shared cache: no, WAL: no","Multi Conn, RO, empty table, shared cache: yes, WAL: yes"
1,21858.7,21447.8,79504.1,76285.9,21764.9,21452.7,79547.2,76422.6,21934.1,21600.3,82182.0,78560.4,21934.2,21580.0,82188.5,78812.1,23418.2,98422.9,23424.9,98501.8,23549.7,99852.2,23640.4,100059.4
2,29751.4,29070.5,95268.3,90314.3,30396.7,29399.9,95940.3,90430.2,34556.2,21372.0,200117.5,66466.7,34844.2,21639.7,200203.5,67125.1,22988.4,94206.7,22968.7,94044.7,37542.0,86360.5,37865.9,86190.5
3,194878.3,168440.3,213205.5,187450.7,194600.0,166873.3,213308.5,187415.1,38034.7,22025.8,209748.0,68873.8,37765.0,21933.4,209961.3,68280.1,22808.7,95047.0,22792.7,94912.0,40653.3,86243.6,35292.8,86448.4
4,212569.4,169020.8,227750.0,199364.2,212140.4,172262.0,227639.5,201794.2,38553.7,24107.5,187721.3,68242.0,38722.2,24482.6,187287.4,69068.0,22926.7,95610.7,22931.1,95273.5,41184.7,86545.1,41022.2,86876.6
5,227418.0,193692.2,234655.1,213850.0,227549.8,190868.6,233064.3,213221.8,38752.1,22992.3,177440.7,66875.2,38627.7,23204.6,176952.8,65888.7,22877.7,95571.2,22927.0,95137.1,41304.3,86486.3,41292.8,86771.8
6,235429.6,211486.2,237459.7,221222.0,235449.3,207916.0,236923.5,219789.5,38528.4,24564.9,176853.4,70952.1,38603.9,24196.2,177343.0,70857.9,22934.0,95296.0,22919.9,95145.8,41234.7,87017.2,41260.2,86916.1
7,236919.3,218573.8,237985.9,223080.5,237063.3,216723.0,238317.9,222588.4,32902.5,24864.1,175811.3,72760.9,33452.7,24695.9,176641.7,73073.2,22718.8,95407.3,22693.9,95226.7,36282.6,86739.2,34088.2,87195.0
8,236616.0,223422.8,238213.0,224109.3,237009.0,221992.4,238670.3,223461.0,38312.5,25564.5,176989.5,73265.9,38343.6,25624.6,176608.9,73638.2,22934.8,95572.3,22913.1,95432.6,40783.2,87025.0,40873.7,87073.6
10,236314.1,224165.8,236576.4,223730.2,236267.3,224854.9,236691.9,223754.3,36222.0,26970.5,175743.6,77237.7,37462.9,26399.4,176582.3,77160.0,22845.1,95294.5,22786.9,95478.3,39789.8,87214.8,35864.1,87114.6
12,236502.0,223686.6,235061.1,222406.3,233824.1,223969.2,235256.5,222591.2,37687.3,29368.6,176191.5,79215.5,37741.0,28819.7,175617.0,79446.5,22942.8,95089.8,22856.7,95345.5,40404.1,87243.3,39030.8,87202.8
14,235948.9,222592.9,233726.7,221148.8,234694.8,222590.5,234847.4,221284.8,36373.5,29185.3,175429.3,83589.9,34855.7,30341.9,175433.2,83977.3,22857.0,95366.0,22698.7,95044.8,38395.5,87238.2,38352.1,87119.7
16,234277.3,221872.9,233646.9,220485.8,234413.2,221730.4,234888.2,220723.4,36952.2,34921.4,173905.1,87169.5,36691.4,36270.9,173827.7,86912.0,22943.4,95478.3,22788.3,95296.1,39746.1,87426.7,39498.4,87234.6
18,234763.2,221612.9,232477.4,220569.9,234101.0,221344.4,234833.4,220299.4,36784.9,37101.6,173350.6,91295.4,36397.2,35958.8,173462.4,91812.9,22933.3,95319.1,22786.3,95428.1,39503.2,87356.2,39606.9,87317.9
20,233656.1,221246.0,232461.4,220696.0,232931.9,221485.2,233700.6,219952.9,36380.9,38384.2,171828.4,88843.5,36141.3,38103.4,171663.3,88679.2,22907.3,95673.8,22787.5,95431.5,39082.6,87389.2,38644.1,87338.5
